term,regr_adjusted_OR,regr_adjusted_SE,regr_adjusted_Z,regr_adjusted_p,regr_adjusted_95perc_CI_lower,regr_adjusted_95perc_CI_upper,regr_adjusted_padj,PGS,model,Dataset,regr_unadjusted_OR,regr_unadjusted_SE,regr_unadjusted_Z,regr_unadjusted_p,regr_unadjusted_95perc_CI_lower,regr_unadjusted_95perc_CI_upper,regr_unadjusted_padj,AUC,AUC_SE,AUC_Z,AUC_p,AUC_90perc_CI_lower,AUC_90perc_CI_upper,AUC_padj,r2l,r2l_SE,r2l_Z,r2l_p,r2l_90perc_CI_lower,r2l_90perc_CI_upper,r2l_padj
scale(PGS_CP_SBayesRC),0.959197519,0.058826087,-0.708159664,0.478846111,0.854637852,1.076360095,1,PGS_CP_SBayesRC,univariate,MyCode,0.959840186,0.058492737,-0.700744799,0.483462293,0.855768512,1.076373471,1,0.514478608,0.017213387,0.841124857,0.200138996,0.486165105,0.542792111,0.257321566,0.000499328,2.15487827092632e-05,23.17196373,4.36640049968986e-119,1.78153626402447e-06,0.00180808,4.91220056215109e-119
scale(PGS_EA_SBayesRC),0.945395881,0.058834332,-0.954400534,0.339880936,0.842137762,1.060645519,1,PGS_EA_SBayesRC,univariate,MyCode,0.944002725,0.05866019,-0.982373668,0.325915794,0.841203782,1.058739865,1,0.483404383,0.017338293,-0.957165617,0.830758166,0.454885429,0.511923336,0.830758166,0.000602395,2.34935061171259e-05,25.64093207,2.66844529953899e-145,5.39510726557542e-06,0.002095636,4.00266794930848e-145
scale(PGS_Birthweight_SBayesRC),1.1077301,0.058982613,1.734629277,0.08280649,0.986909598,1.24371327,0.579645433,PGS_Birthweight_SBayesRC,univariate,MyCode,1.101107808,0.058561733,1.644704931,0.100030675,0.981809878,1.235242454,0.700214728,0.529767852,0.017105816,1.740218213,0.040910354,0.501631289,0.557904416,0.092048297,0.001295667,3.60976708627105e-05,35.89338187,1.93730700385387e-282,3.85981228027353e-05,0.003448539,5.81192101156161e-282
scale(PGS_Stroke_SBayesRC),1.103290186,0.058995741,1.666167633,0.095680031,0.98279005,1.238575288,0.669760215,PGS_Stroke_SBayesRC,univariate,MyCode,1.104390316,0.058369655,1.701113924,0.088921597,0.984960698,1.238264074,0.622451178,0.531957197,0.01647926,1.939237347,0.026236222,0.504851226,0.559063168,0.078708666,0.001174245,3.43743309193458e-05,34.16051456,4.66712023094042e-256,2.11029982993436e-05,0.00330255,1.05010205196159e-255
scale(PGS_Gestdur_SBayesRC),0.932761375,0.058559534,-1.188634329,0.234583593,0.831634435,1.046298026,1,PGS_Gestdur_SBayesRC,univariate,MyCode,0.930468037,0.058351267,-1.235064075,0.216806658,0.829941324,1.04331099,1,0.51665011,0.017047382,0.976696006,0.164359836,0.488609662,0.544690558,0.257321566,0.000774906,2.70755194934618e-05,28.62017064,1.88507117490467e-180,6.4342838223869e-06,0.00261569,3.39312811482841e-180
scale(PGS_Epilepsy_SBayesRC),0.947610374,0.0586442,-0.917598985,0.358828849,0.844750735,1.063147204,1,PGS_Epilepsy_SBayesRC,univariate,MyCode,0.942996643,0.058357022,-1.005749673,0.314536002,0.841132946,1.057397514,1,0.486196038,0.016495053,-0.836854665,0.798662867,0.45906409,0.513327986,0.830758166,0.000588261,2.34104964323987e-05,25.12807639,1.22717460307123e-139,2.91718426116191e-06,0.002150534,1.57779591823444e-139
scale(PGS_Autism_SBayesRC),1.143917577,0.058845878,2.284932201,0.022316804,1.019469179,1.284053832,0.156217625,PGS_Autism_SBayesRC,univariate,MyCode,1.147981268,0.058609307,2.354659839,0.018539668,1.023531707,1.287970094,0.129777679,0.536743374,0.017216833,2.134154111,0.016415084,0.508424205,0.565062544,0.073867877,0.001931406,4.76589496922987e-05,40.52555815,0,0.000105888,0.004954234,0
scale(PGS_Agewalking_SBayesRC),1.037596792,0.059510207,0.620183727,0.535136834,0.923436633,1.166118805,1,PGS_Agewalking_SBayesRC,univariate,MyCode,1.051361432,0.058523652,0.855823668,0.392095322,0.937517,1.179321349,1,0.515201478,0.016578748,0.916925568,0.179590822,0.487931864,0.542471091,0.257321566,0.00045101,2.00061358077949e-05,22.54358948,7.76056173822392e-113,1.54284126663777e-06,0.001819773,7.76056173822392e-113
scale(PGS_CP_SBayesRC),0.954232725,0.059079008,-0.792966782,0.427797177,0.849779389,1.071306661,0.488911059,PGS_CP_SBayesRC,multivariate,MyCode,0.95437922,0.058726069,-0.795118449,0.426544604,0.850495388,1.070723929,0.426544604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
scale(PGS_EA_SBayesRC),0.93047735,0.059993657,-1.201086073,0.229717815,0.82698632,1.046312178,0.354806671,PGS_EA_SBayesRC,multivariate,MyCode,0.928296839,0.059767094,-1.244894514,0.213170528,0.82542762,1.043407889,0.30651511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
scale(PGS_Birthweight_SBayesRC),1.124569369,0.059438505,1.97515363,0.048250716,1.001044931,1.263787825,0.193002865,PGS_Birthweight_SBayesRC,multivariate,MyCode,1.119836473,0.059115047,1.914616916,0.055541376,0.997459661,1.257660858,0.222165505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
scale(PGS_Stroke_SBayesRC),1.102214194,0.059699332,1.630186754,0.103062033,0.980452755,1.239045667,0.274832087,PGS_Stroke_SBayesRC,multivariate,MyCode,1.103958611,0.059018219,1.675795361,0.093778283,0.983299001,1.239326539,0.250075422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
scale(PGS_Gestdur_SBayesRC),0.925806561,0.059108857,-1.30420326,0.192164289,0.824505059,1.039569946,0.354806671,PGS_Gestdur_SBayesRC,multivariate,MyCode,0.92388494,0.058938037,-1.343236789,0.179195313,0.823081152,1.037074061,0.30651511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
scale(PGS_Epilepsy_SBayesRC),0.936233267,0.059250043,-1.112077098,0.266105003,0.833568485,1.051571789,0.354806671,PGS_Epilepsy_SBayesRC,multivariate,MyCode,0.931635154,0.058979641,-1.200651713,0.229886332,0.829932754,1.045869438,0.30651511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
scale(PGS_Autism_SBayesRC),1.152017977,0.059339191,2.384851655,0.01708601,1.025712196,1.294420581,0.136688077,PGS_Autism_SBayesRC,multivariate,MyCode,1.154828201,0.059057841,2.437467841,0.01479053,1.028745461,1.296811847,0.118324238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
scale(PGS_Agewalking_SBayesRC),1.040778104,0.060354285,0.662233187,0.507821789,0.92474049,1.171638475,0.507821789,PGS_Agewalking_SBayesRC,multivariate,MyCode,1.05505894,0.059395403,0.90237005,0.366860325,0.939218916,1.185511039,0.419268943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
scale(all_PGS),NA,NA,NA,NA,NA,NA,NA,all_PGS,multivariate,NA,NA,NA,NA,NA,NA,NA,NA,0.567037344,0.016917132,3.962689595,3.70550554406407e-05,0.539211138,0.594863551,0.000333495,0.007793006,9.47890182568076e-05,82.21422338,0,0.003478063,0.013228344,0
