term	regr_adjusted_OR	regr_adjusted_SE	regr_adjusted_Z	regr_adjusted_p	regr_adjusted_95perc_CI_lower	regr_adjusted_95perc_CI_upper	regr_adjusted_padj	PGS	model	Dataset	regr_unadjusted_OR	regr_unadjusted_SE	regr_unadjusted_Z	regr_unadjusted_p	regr_unadjusted_95perc_CI_lower	regr_unadjusted_95perc_CI_upper	regr_unadjusted_padj	AUC	AUC_SE	AUC_Z	AUC_p	AUC_90perc_CI_lower	AUC_90perc_CI_upper	AUC_padj	r2l	r2l_SE	r2l_Z	r2l_p	r2l_90perc_CI_lower	r2l_90perc_CI_upper	r2l_padj
scale(PGS_CP_SBayesRC)	0.972373098490365	0.0558148333551425	-0.501940081233143	0.615709669999548	0.87161087934349	1.08478519763532	1	PGS_CP_SBayesRC	univariate	MyCode	0.973076548704906	0.0557896455749889	-0.489204165700115	0.624697160632973	0.872265149938245	1.08552959937632	1	0.510948266295507	0.0164060170870482	0.667332371861945	0.252279926547969	0.483962769586048	0.537933763004967	0.331034565308497	0.000370451812666339	1.5803113824933e-05	23.4416974255964	8.03274048672674e-122	1.60363029026124e-06	0.00139472212231408	9.03683304756759e-122
scale(PGS_EA_SBayesRC)	0.891099559999474	0.0561066008048803	-2.05500095321921	0.0398789126429976	0.798190752091898	0.994540212749216	0.279152388500983	PGS_EA_SBayesRC	univariate	MyCode	0.894135505517768	0.056015566382825	-1.9976222745345	0.0457576264987214	0.801057962909674	0.997754727089068	0.32030338549105	0.532210254973285	0.0165109480631212	1.95084224419734	0.0255379074277673	0.505052162167253	0.559368347779318	0.0459682333699811	0.0015436316141883	4.0017021552082e-05	38.5743754611839	0	6.29242868179607e-05	0.00395352890180323	0
scale(PGS_Birthweight_SBayesRC)	1.11381903610315	0.0560464703497246	1.92330904135526	0.0544412497858654	0.997928380543145	1.24312167617651	0.381088748501058	PGS_Birthweight_SBayesRC	univariate	MyCode	1.10785753404968	0.0557717121390827	1.83655829724351	0.066275128486838	0.993123781355883	1.23580429043606	0.463925899407866	0.532332535126316	0.0163883274546105	1.97290023743207	0.0242534647894043	0.505376135272931	0.5592889349797	0.0459682333699811	0.00139008130826422	3.92813869306921e-05	35.3877858415964	1.31589874465089e-274	3.07180303663329e-05	0.00378646090400551	2.96077217546451e-274
scale(PGS_Stroke_SBayesRC)	1.11272866721739	0.0558232483555468	1.91345471017639	0.0556898661795835	0.997346691984275	1.24130950016018	0.389829063257085	PGS_Stroke_SBayesRC	univariate	MyCode	1.11858892121123	0.0556956533421972	2.01214982634053	0.0442041456319121	1.00284609123523	1.24753033604924	0.309429019423385	0.534339544385683	0.0157515372330241	2.18007575245977	0.0146259234011862	0.508430571237882	0.560248517533484	0.0459682333699811	0.0013860349496018	3.93053079416459e-05	35.2633021387227	1.0728541241375e-272	4.68361200527479e-05	0.00379840540869079	1.9311374234475e-272
scale(PGS_Gestdur_SBayesRC)	0.949781576381347	0.0558984072645258	-0.921730026722841	0.356669414196375	0.851300118001101	1.059849067469	1	PGS_Gestdur_SBayesRC	univariate	MyCode	0.948336852640182	0.0557201248797338	-0.951999123603302	0.341097426347923	0.850288848087872	1.05788667956044	1	0.510676262432375	0.0163957375017507	0.651160853925273	0.257471328573276	0.483707674136076	0.537644850728674	0.331034565308497	0.000570665182187624	2.19573332765833e-05	25.9897308566254	3.23493492124236e-149	4.37525321681431e-06	0.00201324238160139	4.85240238186354e-149
scale(PGS_Epilepsy_SBayesRC)	0.960528053299426	0.0561296772464546	-0.71748301791009	0.473076111201786	0.860475490941221	1.07224689190813	1	PGS_Epilepsy_SBayesRC	univariate	MyCode	0.965606862988091	0.0557765624298203	-0.627476850738415	0.530346705883094	0.86561586508762	1.07719824245119	1	0.49483643065	0.0155442780552796	-0.332184571817193	0.630125053571722	0.469268368512431	0.520404492787568	0.630125053571722	0.000440659422143749	1.77402776467004e-05	24.8394884747314	1.67949201700004e-136	2.94769902593832e-06	0.00154089417337657	2.15934687900005e-136
scale(PGS_Autism_SBayesRC)	1.13336576946875	0.055983307416698	2.23623377111525	0.025336462144452	1.01558592048627	1.26480519052141	0.177355235011164	PGS_Autism_SBayesRC	univariate	MyCode	1.13774307218948	0.0557889810263886	2.31311876426659	0.0207161103140222	1.01989417182826	1.26920371221932	0.145012772198155	0.534469311323161	0.0166174219863978	2.07428753698235	0.0190263072935801	0.507136084498252	0.561802538148071	0.0459682333699811	0.00181060015605328	4.76095503363501e-05	38.0301881295207	9.15097915035465e-317	9.43562064015982e-05	0.0046573220906742	2.7452937451064e-316
scale(PGS_Agewalking_SBayesRC)	1.0124220438027	0.0562262011117418	0.219568866741207	0.826206940440505	0.906773624780689	1.1303672404236	1	PGS_Agewalking_SBayesRC	univariate	MyCode	1.0200660687815	0.0557879338227986	0.356123576413203	0.721748021723536	0.914393376786142	1.13794794071861	1	0.507684902732655	0.0156720697125707	0.490356594476519	0.311940792905087	0.481906642024097	0.533463163441213	0.350933392018223	0.000273927511347999	1.26627636665589e-05	21.6325218223424	4.43970311781392e-104	9.72475894861404e-07	0.00106234524802296	4.43970311781392e-104
scale(PGS_CP_SBayesRC)	0.968578120242981	0.0558031982238013	-0.572120224962667	0.567240528106302	0.868229173601623	1.08052726749466	0.648274889264345	PGS_CP_SBayesRC	multivariate	MyCode	0.968632950585665	0.0557933069556774	-0.571207059688087	0.567859293289346	0.868291539392456	1.0805623827717	0.648982049473538	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scale(PGS_EA_SBayesRC)	0.877825310056468	0.056905773207856	-2.28988486205312	0.0220279919974291	0.785081320007185	0.981276409432503	0.0679939555670985	PGS_EA_SBayesRC	multivariate	MyCode	0.88146488479084	0.056762939295936	-2.22275511535472	0.0262323171949983	0.788561850518385	0.985073532803245	0.0826200840936623	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
