term	regr_adjusted_OR	regr_adjusted_SE	regr_adjusted_Z	regr_adjusted_p	regr_adjusted_95perc_CI_lower	regr_adjusted_95perc_CI_upper	regr_adjusted_padj	PGS	model	Dataset	regr_unadjusted_OR	regr_unadjusted_SE	regr_unadjusted_Z	regr_unadjusted_p	regr_unadjusted_95perc_CI_lower	regr_unadjusted_95perc_CI_upper	regr_unadjusted_padj	AUC	AUC_SE	AUC_Z	AUC_p	AUC_90perc_CI_lower	AUC_90perc_CI_upper	AUC_padj	r2l	r2l_SE	r2l_Z	r2l_p	r2l_90perc_CI_lower	r2l_90perc_CI_upper	r2l_padj
scale(PGS_CP_FinnGen_SBayesRC)	1.01895985444509	0.0447695360170129	0.419534311136871	0.674825684473385	0.933360414641858	1.11244036338826	1	PGS_CP_FinnGen_SBayesRC	univariate	Australian (full)	1.03424493430349	0.0442070569030821	0.761679939001832	0.446251051294207	0.948412459204522	1.12787206235329	1	0.507903035393481	0.0125859482204619	0.62792530646461	0.265026436044454	0.487200992814431	0.528605077972531	0.265026436044454	0.00020651671273354	8.79821223177079e-06	23.4725768478053	3.88790803235624e-122	1.41295126368617e-06	0.00075720552542211	4.99873889874374e-122
scale(PGS_EA_SBayesRC)	0.717025462056651	0.0445478854644054	-7.46710923787567	8.19757140052979e-14	0.656994964502113	0.782360024681549	5.73829998037085e-13	PGS_EA_SBayesRC	univariate	Australian (full)	0.714702251975558	0.0444417461523092	-7.55796706708561	4.09417666662477e-14	0.655029078773767	0.779698693911809	2.86592366663734e-13	0.592381045705886	0.0130185814120544	7.09609156189225	6.41672353247071e-13	0.570967384852506	0.613794706559267	2.88752558961182e-12	0.0103888514842107	9.16107011457471e-05	113.402161038836	0	0.00614347139908214	0.0156206044827141	0
scale(PGS_Birthweight_SBayesRC)	0.991964578791215	0.0450546262538076	-0.179068829758234	0.857883656632017	0.90808399332333	1.08352310289201	1	PGS_Birthweight_SBayesRC	univariate	Australian (full)	0.928970798815671	0.0442533148473911	-1.66491422932222	0.0959298689319633	0.851749485168998	1.01310104696073	0.671509082523743	0.52272550803761	0.0127404514255502	1.78372863555175	0.0372338853507743	0.501769330301295	0.543681685773925	0.0670209936313937	0.000189371462493192	8.46135892668125e-06	22.3807386182432	3.031595307487e-111	4.53153236512974e-07	0.000699536199289383	3.41054472092288e-111
scale(PGS_Stroke_SBayesRC)	1.12467845984405	0.0446668210559559	2.63052481806975	0.00852531446451512	1.03041499633591	1.22760250738695	0.0596772012516059	PGS_Stroke_SBayesRC	univariate	Australian (full)	1.12462867224875	0.0442112677954422	2.65662845505345	0.00789263755923494	1.03128981371406	1.22645239082435	0.0552484629146446	0.526944961620121	0.0128751780995903	2.09278360358979	0.0181842380673908	0.505767178225364	0.548122745014878	0.0409145356516294	0.00138898013821302	3.08909145147826e-05	44.9640342485924	0	0.000136959751338819	0.0033163803681482	0
scale(PGS_Gestdur_SBayesRC)	0.931390992222657	0.0450292439813237	-1.57844354956004	0.11446374706402	0.852707454290317	1.01734840080003	0.801246229448142	PGS_Gestdur_SBayesRC	univariate	Australian (full)	0.898505292968361	0.0441976746443358	-2.42145503678611	0.0154585132825894	0.82393812163746	0.979808061438146	0.108209592978125	0.530334663213644	0.0127816263385914	2.37330230207521	0.00881491405385243	0.509310758772273	0.551358567655015	0.0264447421615573	0.000712494402687729	2.11836640526114e-05	33.634143787316	2.65893751566944e-248	8.12322615723858e-06	0.0021406781869857	5.98260941025624e-248
scale(PGS_Epilepsy_SBayesRC)	1.04028793808293	0.0446092382957201	0.885411629606595	0.375934662321829	0.953190590941157	1.13536018815972	1	PGS_Epilepsy_SBayesRC	univariate	Australian (full)	1.06074524884383	0.044202357199936	1.33413079691348	0.182160994376708	0.972716315379009	1.15675082547733	1	0.515070530318938	0.0122371243014892	1.23154181878368	0.109060143016898	0.494942252028177	0.535198808609698	0.163590214525347	0.000312451032753541	1.2312006436143e-05	25.3777509274453	2.22021496302929e-142	2.03498257233189e-06	0.00111610503557556	3.99638693345272e-142
scale(PGS_Autism_SBayesRC)	0.998767967919127	0.0450292879725792	-0.0273775516302381	0.978158602740689	0.914397157386913	1.09095066413777	1	PGS_Autism_SBayesRC	univariate	Australian (full)	1.03717953400735	0.0442089517813104	0.82573870343435	0.408952332104097	0.951102440177512	1.13107874858366	1	0.509943678402277	0.0130533926592278	0.76176965344314	0.22309874764092	0.488472758142725	0.53141459866183	0.265026436044454	0.000193802725451624	9.25539595430907e-06	20.9394310528005	1.17119804406234e-97	1.0625182894717e-06	0.000742947779309427	1.17119804406234e-97
scale(PGS_Agewalking_SBayesRC)	0.985178938812572	0.0447056948966112	-0.334006452071413	0.738374689949671	0.902502567018673	1.07539532689725	1	PGS_Agewalking_SBayesRC	univariate	Australian (full)	1.02855205307536	0.0441981692223563	0.636950353300804	0.524157182531171	0.943192509739354	1.12162650162319	1	0.508060287907422	0.0125024627270871	0.644696015766451	0.259562099383228	0.487495566744947	0.528625009069897	0.265026436044454	0.000171306608755196	7.0874947530924e-06	24.1702625148967	2.28625684289466e-129	8.23881736522134e-07	0.000608880318445685	3.42938526434199e-129
scale(PGS_CP_FinnGen_SBayesRC)	1.01636484061659	0.0449255747977846	0.361317130948523	0.717862388873381	0.930707897523256	1.10994063966218	0.957149851831175	PGS_CP_FinnGen_SBayesRC	multivariate	Australian (full)	1.02664481778224	0.0443012154897244	0.593573481433817	0.552797422085515	0.941261186114038	1.11979180975127	0.573873616587661	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scale(PGS_EA_SBayesRC)	0.71998443003844	0.0449758643645832	-7.30448868062604	2.78323097906339e-13	0.659162244182874	0.786258963572862	2.22658478325071e-12	PGS_EA_SBayesRC	multivariate	Australian (full)	0.718912059213714	0.0448567984306873	-7.35710639508178	1.87939553629167e-13	0.658355680911033	0.784936443643773	1.50351642903334e-12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scale(PGS_Birthweight_SBayesRC)	1.0217843105987	0.0454066819251526	0.47460907103265	0.635065639536433	0.934744549842399	1.11685816365869	0.957149851831175	PGS_Birthweight_SBayesRC	multivariate	Australian (full)	0.961441195898799	0.0445545155126481	-0.882556438617486	0.377475973431391	0.880990044716411	1.04912918530467	0.503301297908521	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scale(PGS_Stroke_SBayesRC)	1.10735781838404	0.0447367400314116	2.27948737284915	0.0226381097410235	1.0144098299695	1.20886776676557	0.0905524389640939	PGS_Stroke_SBayesRC	multivariate	Australian (full)	1.10439038229889	0.0443184537166022	2.2404548033278	0.0250614118341154	1.01252083958545	1.20464903567468	0.0817509920023185	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scale(PGS_Gestdur_SBayesRC)	0.936603211979102	0.0452535863858578	-1.44730082333926	0.147812688639693	0.85711455503683	1.02349017336703	0.394167169705849	PGS_Gestdur_SBayesRC	multivariate	Australian (full)	0.908387505709644	0.0444525361065833	-2.16150148975766	0.0306566220008694	0.832586880064413	0.991091873968122	0.0817509920023185	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scale(PGS_Epilepsy_SBayesRC)	1.00853148738146	0.0449767752269081	0.188881925757825	0.850185359743666	0.923416847309256	1.10146700666272	0.971640411135618	PGS_Epilepsy_SBayesRC	multivariate	Australian (full)	1.02536023397219	0.0445340795343663	0.562355815740769	0.573873616587661	0.939639943410742	1.11888322353119	0.573873616587661	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scale(PGS_Autism_SBayesRC)	1.0224908455166	0.0452281006369085	0.49176630328331	0.622884560303291	0.935760450364013	1.11729262421271	0.957149851831175	PGS_Autism_SBayesRC	multivariate	Australian (full)	1.05601854696461	0.0443404947446141	1.22925440632139	0.21897643597886	0.968129578677926	1.15193400030003	0.43795287195772	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scale(PGS_Agewalking_SBayesRC)	0.999904718474342	0.0449430202905758	-0.00212015268700835	0.998308364171822	0.915586176013849	1.09198369208082	0.998308364171822	PGS_Agewalking_SBayesRC	multivariate	Australian (full)	1.04385272859821	0.0443162905440964	0.968456845594924	0.332816261295777	0.957004409560319	1.1385895842474	0.503301297908521	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scale(PGS_CP_FinnGen_SBayesRC)	0.910392095881736	0.0920059294438248	-1.02036790719068	0.307554008383837	0.76019586026191	1.09034956401634	1	PGS_CP_FinnGen_SBayesRC	univariate	Australian (monogenic)	0.933785058097677	0.0907926640449306	-0.754565343736227	0.450509824445105	0.781571786149635	1.11568623948367	1	0.518809688275596	0.0265014498989099	0.709760724313043	0.238926264279189	0.475218682289901	0.562400694261291	0.268792047314088	0.00168831591837034	6.37132766545324e-05	26.4986515687266	5.02271411982841e-155	1.35238294221726e-05	0.00606322237922843	9.04088541569114e-155
scale(PGS_EA_SBayesRC)	0.735692355375967	0.0910781967248415	-3.3701067224475	0.000751390766267458	0.615289018523774	0.879299385596354	0.0052597353638722	PGS_EA_SBayesRC	univariate	Australian (monogenic)	0.740220607490227	0.090983655537515	-3.30616545581931	0.000945822197034146	0.619283061379708	0.8846671331636	0.00662075537923902	0.585526421474526	0.0259380195265293	3.29733815594711	0.000488029544352595	0.542862175980377	0.628190666968676	0.00219613294958668	0.00864696444748402	0.000155117675389935	55.7445463629293	0	0.00207530202136483	0.0172372125771801	0
scale(PGS_Birthweight_SBayesRC)	0.966650330429916	0.0925082052053979	-0.366653436832228	0.713877543114365	0.806257633279476	1.1586906025526	1	PGS_Birthweight_SBayesRC	univariate	Australian (monogenic)	0.889597335680786	0.0909565379078465	-1.28617857654142	0.198380745995816	0.744224846564619	1.06304398630798	1	0.537601906811993	0.025026157616483	1.50250419533951	0.0664834726385139	0.496437540687862	0.578766272936125	0.149236428522176	0.000834011048275001	3.61621906644951e-05	23.0630676114944	5.43823631406608e-118	4.46783992163226e-06	0.0030636863246266	6.11801585332434e-118
scale(PGS_Stroke_SBayesRC)	1.18476841661367	0.0916500557256795	1.84994242641637	0.0643218480992948	0.989942866840789	1.41791700670249	0.450252936695064	PGS_Stroke_SBayesRC	univariate	Australian (monogenic)	1.18694071204142	0.0908043418841642	1.88734550673949	0.0591138694329239	0.993430025285982	1.41817121235853	0.413797086030467	0.537520582163999	0.0270756910588031	1.38576637185405	0.0829091269567646	0.492985033523709	0.582056130804288	0.149236428522176	0.00354736187105887	0.000106714072405606	33.2417439527173	1.34336021773577e-242	7.5738044312193e-05	0.0100109392257934	4.03008065320732e-242
scale(PGS_Gestdur_SBayesRC)	0.851270855902455	0.0926731592402239	-1.73755726914631	0.0822888547031964	0.709951940907656	1.02096830134551	0.576021982922375	PGS_Gestdur_SBayesRC	univariate	Australian (monogenic)	0.813827851152383	0.0907209548967325	-2.27076997426887	0.0231609064959033	0.681286890167809	0.972243291093491	0.162126345471323	0.555653769849238	0.0273575542824645	2.03431086253609	0.020960131328742	0.510654597463205	0.600652942235272	0.0628803939862261	0.00348254090452405	0.000107281756657781	32.4616319961374	1.85602376776874e-231	4.55867988252152e-05	0.0100102975274906	4.17605347747967e-231
scale(PGS_Epilepsy_SBayesRC)	0.923615479980185	0.0908729935595603	-0.874401051938989	0.381899884725076	0.772860773581844	1.10361362386451	1	PGS_Epilepsy_SBayesRC	univariate	Australian (monogenic)	0.943355023791259	0.0908122237610836	-0.642122628914209	0.520793564209963	0.789539330527585	1.12712140537833	1	0.514110730034297	0.0255980609049291	0.551242146297877	0.290733845937618	0.4720056667119	0.556215793356694	0.290733845937618	0.00134590249990561	5.35207537264942e-05	25.1473009289732	7.56306703402012e-140	9.75646060205407e-06	0.00492332392417063	1.13446005510302e-139
scale(PGS_Autism_SBayesRC)	1.06194045299237	0.0923522310303075	0.650746061558064	0.51521042396362	0.886140292496161	1.27276815256268	1	PGS_Autism_SBayesRC	univariate	Australian (monogenic)	1.11535403932696	0.0908410485210176	1.2017901636921	0.229444837395836	0.933478600303383	1.33277425455773	1	0.527411024811046	0.0266029326209726	1.03037605671474	0.151416754195607	0.483653094601893	0.571168955020198	0.22712513129341	0.00101898744739916	4.61061546539574e-05	22.1008985686837	1.54919827037298e-108	5.26634480523536e-06	0.00390122388460422	1.54919827037298e-108
scale(PGS_Agewalking_SBayesRC)	1.03645050302445	0.0915972139097371	0.390862301036459	0.695899021081767	0.866060814861858	1.24022121154221	1	PGS_Agewalking_SBayesRC	univariate	Australian (monogenic)	1.09227804516202	0.0907819960079092	0.972279404570111	0.330911566945122	0.914206678337399	1.30498129837098	1	0.523152625280118	0.0265318182898804	0.872636207106428	0.191430699432236	0.479511667736391	0.566793582823845	0.246125184984304	0.000927305141878965	3.92944921394475e-05	23.5988580432129	1.97979136067681e-123	3.95529350116185e-06	0.00354144905972413	2.54544603515589e-123
scale(PGS_CP_FinnGen_SBayesRC)	0.908990958340486	0.0921740907691812	-1.03521641361479	0.300567855117442	0.758774564338017	1.08903230673605	0.480908568187908	PGS_CP_FinnGen_SBayesRC	multivariate	Australian (monogenic)	0.927783910598303	0.0908662671415814	-0.824909293927466	0.40942308946169	0.776396656799853	1.10862037361537	0.418775966277948	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scale(PGS_EA_SBayesRC)	0.729269279178513	0.0922177872804054	-3.42355030303319	0.000618088110431803	0.608586742913735	0.873620198836981	0.00494470488345442	PGS_EA_SBayesRC	multivariate	Australian (monogenic)	0.735588663182338	0.0918675461423637	-3.34268423318529	0.000829722569323164	0.614367794903477	0.880696972944479	0.00663778055458531	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scale(PGS_Birthweight_SBayesRC)	1.00005283162097	0.0931841564888988	0.00056694428986593	0.999547643928514	0.833010880388756	1.20033184937981	0.999547643928514	PGS_Birthweight_SBayesRC	multivariate	Australian (monogenic)	0.92864292995753	0.0915605478429304	-0.808546643391189	0.418775966277948	0.775933263348122	1.11097440316632	0.418775966277948	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scale(PGS_Stroke_SBayesRC)	1.16529818464559	0.0915930357972807	1.67018164013555	0.0948834313843628	0.973823230027284	1.3945311532739	0.25424243545701	PGS_Stroke_SBayesRC	multivariate	Australian (monogenic)	1.16421629647696	0.0908437754404131	1.6737322180303	0.0941832389100341	0.974374716021552	1.39119566060951	0.251155303760091	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scale(PGS_Gestdur_SBayesRC)	0.856427405173328	0.0929241672440976	-1.66787313719542	0.0953409132963788	0.713923098513166	1.02769601531675	0.25424243545701	PGS_Gestdur_SBayesRC	multivariate	Australian (monogenic)	0.823173677228882	0.0911613023945848	-2.13454685285953	0.0327980426537099	0.688536200141201	0.984289318765258	0.13119217061484	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
